game_id,game_date,season,week,posteam,defteam,home_team,away_team,qtr,down,ydstogo,yardline_100,goal_to_go,score_differential,game_seconds_remaining,half_seconds_remaining,shotgun,no_huddle,side_of_field,play_type,passer,rusher,receiver,run_location,run_gap,pass_location,pass_length,epa,wpa,success,air_yards,yards_after_catch,xyac_mean_yardage,xyac_success,xpass,yards_gained,first_down,touchdown,passing_yards,rushing_yards,pass_touchdown,rush_touchdown,interception,sack,fumble,fumble_lost,desc,play_clock,game_half,play_id,drive,drive_play_id_started,drive_play_id_ended,late_down,red_zone,goal_to_go_flag,score_state,explosive,success_boolean,pass_detail,distance_bucket,field_bucket,game_phase,pass_side
2021_01_SF_DET,2021-09-12,2021,1,SF,DET,DET,SF,3.0,1.0,10.0,36.0,0,21.0,1673.0,1673.0,0.0,0.0,DET,run,,E.Mitchell,,left,end,,,0.7576539,0.0030478835,1.0,,,0.0,0.0,0.45138848,10.0,1.0,0.0,,10.0,0.0,0.0,0.0,0.0,0.0,0.0,(12:53) 25-E.Mitchell left end to DET 26 for 10 yards (21-T.Walker).,0,Half2,2220.0,13.0,2126.0,2325.0,False,False,False,leading,False,True,run_play,long,midfield,mid,run_play
2021_01_SF_DET,2021-09-12,2021,1,SF,DET,DET,SF,3.0,1.0,10.0,26.0,0,21.0,1632.0,1632.0,0.0,0.0,DET,pass,J.Garoppolo,,D.Samuel,,,right,short,-0.48404765,-0.00363338,0.0,4.0,0.0,3.7847545,0.75587696,0.44088694,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,(12:12) 10-J.Garoppolo pass incomplete short right to 19-D.Samuel.,0,Half2,2241.0,13.0,2126.0,2325.0,False,False,False,leading,False,False,short,long,midfield,mid,right
2021_01_SF_DET,2021-09-12,2021,1,SF,DET,DET,SF,3.0,2.0,10.0,26.0,0,21.0,1629.0,1629.0,0.0,0.0,DET,pass,J.Garoppolo,,Unknown,,,middle,short,-2.1096725,-0.00947839,0.0,-3.0,0.0,0.0,0.0,0.6357442,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,"(12:09) 10-J.Garoppolo pass incomplete short middle. PENALTY on SF-10-J.Garoppolo, Intentional Grounding, 10 yards, enforced at DET 26.",0,Half2,2263.0,13.0,2126.0,2325.0,False,False,False,leading,False,False,short,long,midfield,mid,middle
2021_01_SF_DET,2021-09-12,2021,1,SF,DET,DET,SF,3.0,3.0,20.0,36.0,0,21.0,1624.0,1624.0,1.0,0.0,DET,run,,T.Lance,,middle,unknown,,,-0.360511,0.0046488643,0.0,,,0.0,0.0,0.90243644,2.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,(12:04) (Shotgun) 5-T.Lance up the middle to DET 34 for 2 yards (25-W.Harris). #5-T.Lance in at QB for this play.,0,Half2,2296.0,13.0,2126.0,2325.0,True,False,False,leading,False,False,run_play,long,midfield,mid,run_play
2021_01_SF_DET,2021-09-12,2021,1,SF,DET,DET,SF,3.0,1.0,10.0,91.0,0,21.0,1516.0,1516.0,0.0,0.0,SF,run,,E.Mitchell,,right,end,,,0.2921745,0.0008812547,1.0,,,0.0,0.0,0.3502785,7.0,0.0,0.0,,7.0,0.0,0.0,0.0,0.0,0.0,0.0,(10:16) 25-E.Mitchell right end to SF 16 for 7 yards (91-M.Brockers).,0,Half2,2511.0,15.0,2511.0,2621.0,False,False,False,leading,False,True,run_play,long,deep_in_own,mid,run_play
2021_01_SF_DET,2021-09-12,2021,1,SF,DET,DET,SF,3.0,2.0,3.0,84.0,0,21.0,1474.0,1474.0,0.0,0.0,SF,run,,E.Mitchell,,middle,unknown,,,0.27459472,0.0042642355,1.0,,,0.0,0.0,0.3544402,3.0,1.0,0.0,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,(9:34) 25-E.Mitchell up the middle to SF 19 for 3 yards (90-T.Flowers).,0,Half2,2532.0,15.0,2511.0,2621.0,False,False,False,leading,False,True,run_play,medium,deep_in_own,mid,run_play
2021_01_SF_DET,2021-09-12,2021,1,SF,DET,DET,SF,3.0,1.0,10.0,81.0,0,21.0,1431.0,1431.0,1.0,0.0,SF,pass,J.Garoppolo,,D.Samuel,,,middle,short,-0.6514444,-0.0039994717,0.0,10.0,0.0,4.9703975,0.9991072,0.40864053,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,(8:51) (Shotgun) 10-J.Garoppolo pass incomplete short middle to 19-D.Samuel.,0,Half2,2553.0,15.0,2511.0,2621.0,False,False,False,leading,False,False,short,long,deep_in_own,mid,middle
2021_01_SF_DET,2021-09-12,2021,1,SF,DET,DET,SF,3.0,2.0,10.0,81.0,0,21.0,1428.0,1428.0,1.0,0.0,SF,run,,E.Mitchell,,middle,unknown,,,-0.6615263,-0.0023727417,0.0,,,0.0,0.0,0.58538663,2.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,(8:48) (Shotgun) 25-E.Mitchell up the middle to SF 21 for 2 yards (8-J.Collins).,0,Half2,2575.0,15.0,2511.0,2621.0,False,False,False,leading,False,False,run_play,long,deep_in_own,mid,run_play
2021_01_SF_DET,2021-09-12,2021,1,SF,DET,DET,SF,3.0,3.0,8.0,79.0,0,21.0,1388.0,1388.0,1.0,0.0,SF,pass,J.Garoppolo,,D.Samuel,,,right,deep,7.7066154,0.037876856,1.0,26.0,53.0,8.710461,1.0,0.9746124,79.0,1.0,1.0,79.0,,1.0,0.0,0.0,0.0,0.0,0.0,"(8:08) (Shotgun) 10-J.Garoppolo pass deep right to 19-D.Samuel for 79 yards, TOUCHDOWN [8-J.Collins].",0,Half2,2596.0,15.0,2511.0,2621.0,True,False,False,leading,True,True,deep,long,own_side,mid,right
2021_01_SF_DET,2021-09-12,2021,1,SF,DET,DET,SF,3.0,1.0,10.0,80.0,0,21.0,1158.0,1158.0,1.0,0.0,SF,run,,E.Mitchell,,middle,unknown,,,-0.637481,-0.0023685694,0.0,,,0.0,0.0,0.4011922,1.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,(4:18) (Shotgun) 25-E.Mitchell up the middle to SF 21 for 1 yard (95-R.Okwara; 41-A.Parker).,0,Half2,2855.0,17.0,2831.0,2987.0,False,False,False,leading,False,False,run_play,long,deep_in_own,mid,run_play
2021_01_SF_DET,2021-09-12,2021,1,SF,DET,DET,SF,3.0,2.0,9.0,79.0,0,21.0,1120.0,1120.0,0.0,0.0,SF,pass,J.Garoppolo,,D.Samuel,,,middle,short,1.7055687,0.00597769,1.0,14.0,2.0,4.513395,1.0,0.70552063,16.0,1.0,0.0,16.0,,0.0,0.0,0.0,0.0,0.0,0.0,(3:40) 10-J.Garoppolo pass short middle to 19-D.Samuel to SF 37 for 16 yards (25-W.Harris).,0,Half2,2876.0,17.0,2831.0,2987.0,False,False,False,leading,True,True,short,long,own_side,mid,middle
2021_01_SF_DET,2021-09-12,2021,1,SF,DET,DET,SF,3.0,1.0,10.0,63.0,0,21.0,1076.0,1076.0,1.0,0.0,SF,pass,J.Garoppolo,,D.Samuel,,,middle,short,-0.43137848,-0.0022107363,0.0,-4.0,6.0,10.482604,0.5475068,0.37423334,2.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,(2:56) (Shotgun) 10-J.Garoppolo pass short middle to 19-D.Samuel to SF 39 for 2 yards (92-K.Strong).,0,Half2,2900.0,17.0,2831.0,2987.0,False,False,False,leading,False,False,short,long,own_side,mid,middle
2021_01_SF_DET,2021-09-12,2021,1,SF,DET,DET,SF,3.0,2.0,8.0,61.0,0,21.0,1029.0,1029.0,0.0,0.0,SF,run,,E.Mitchell,,left,end,,,0.35332927,0.0013061762,1.0,,,0.0,0.0,0.6602959,7.0,0.0,0.0,,7.0,0.0,0.0,0.0,0.0,0.0,0.0,(2:09) 25-E.Mitchell left end to SF 46 for 7 yards (8-J.Collins).,0,Half2,2924.0,17.0,2831.0,2987.0,False,False,False,leading,False,True,run_play,long,own_side,mid,run_play
2021_01_SF_DET,2021-09-12,2021,1,SF,DET,DET,SF,3.0,3.0,1.0,54.0,0,21.0,984.0,984.0,1.0,0.0,SF,run,,T.Lance,,left,tackle,,,-2.2162745,-0.0063022375,0.0,,,0.0,0.0,0.31849548,-1.0,0.0,0.0,,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,(1:24) #5-T.Lance in at QB for this play. (Shotgun) 5-T.Lance left tackle to SF 45 for -1 yards (97-N.Williams; 8-J.Collins).,0,Half2,2962.0,17.0,2831.0,2987.0,True,False,False,leading,False,False,run_play,short,own_side,mid,run_play
2021_01_SF_DET,2021-09-12,2021,1,SF,DET,DET,SF,4.0,1.0,10.0,53.0,0,21.0,818.0,818.0,1.0,0.0,SF,run,,E.Mitchell,,right,end,,,-0.5692842,0.0021249652,0.0,,,0.0,0.0,0.26338124,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(13:38) (Shotgun) 25-E.Mitchell right end to SF 47 for no gain (8-J.Collins).,0,Half2,3144.0,19.0,3144.0,3302.0,False,False,False,leading,False,False,run_play,long,own_side,late,run_play
